instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
Inter American University of Puerto Rico-Arecibo,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (smaller programs),Full-time four-year- more selective- lower transfer-in,Very high undergraduate,Medium four-year- primarily nonresidential,-66.759010000000004,18.475089999999998,12998.0,,0.02,
Inter American University of Puerto Rico-Barranquitas,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Very high undergraduate,Small four-year- primarily nonresidential,-66.303314,18.182701999999999,,,0.029999999999999999,
Inter American University of Puerto Rico-Metro,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- high graduate coexistence,Doctoral/Research Universities,Medium full-time four-year- selective- higher transfer-in,Majority undergraduate,Medium four-year- primarily nonresidential,-66.077710999999994,18.368988000000002,15979.0,,0.02,
Inter American University of Puerto Rico-Ponce,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- selective- lower transfer-in,Very high undergraduate,Medium four-year- primarily nonresidential,-66.578497999999996,18.007387999999999,7878.0,,0.029999999999999999,
Inter American University of Puerto Rico-Central Office,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.069598999999997,18.404214,,,,
Inter American University of Puerto Rico-Fajardo,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- selective- higher transfer-in,Very high undergraduate,Small four-year- primarily nonresidential,-65.649624000000003,18.329157000000002,4765.0,,0.040000000000000001,
Inter American University of Puerto Rico-Guayama,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- more selective- lower transfer-in,Very high undergraduate,Small four-year- primarily nonresidential,-66.110100000000003,17.98,11619.0,,0.059999999999999998,
Inter American University of Puerto Rico-Bayamon,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- more selective- lower transfer-in,Very high undergraduate,Medium four-year- primarily nonresidential,-66.182473000000002,18.351631000000001,,,0.11,
Inter American University of Puerto Rico-School of Law,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Schools of law,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-66.072656000000009,18.428145000000001,,,,
International Technical College,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.057311999999996,18.416999000000001,,,,
Liceo de Arte y Tecnologia,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.056421,18.421013000000002,,,,
MBTI Business Training Institute,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.073371999999992,18.450225,,,,
Modern Hairstyling Institute,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.156474000000003,18.399208999999999,,,,
Modern Hairstyling Institute,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.754165,18.476118,,,,
National University College-Bayamon,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Medium full-time four-year- inclusive,Exclusively undergraduate four-year,Small four-year- primarily nonresidential,-66.149000000000001,18.393027,15315.0,,0.14000000000000001,
National University College-Arecibo,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Medium full-time four-year- inclusive,Exclusively undergraduate four-year,Small four-year- primarily nonresidential,-66.719511999999995,18.474217000000003,,,0.070000000000000007,
Ponce Paramedical College Inc,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Medium full-time two-year,Exclusively undergraduate two-year,Medium two-year,-66.592625999999996,18.017136999999998,,,,
Ponce School of Medicine and Health Sciences,Private not-for-profit,No undergraduate offering,Not applicable- graduate institution,Associate's--Private Not-for-profit 4-year Primarily Associate's,Not applicable,Exclusively graduate/professional,Exclusively graduate/professional,-66.620343000000005,17.993242000000002,,,,
University of Puerto Rico-Aguadilla,Public,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- selective- lower transfer-in,Exclusively undergraduate four-year,Small four-year- primarily nonresidential,-67.137930000000011,18.498652,,,,
University of Puerto Rico-Arecibo,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Medium four-year- primarily nonresidential,-66.741140000000001,18.469199,,,0.040000000000000001,
University of Puerto Rico-Bayamon,Public,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Medium four-year- primarily nonresidential,-66.143540999999999,18.371398000000003,,,0.040000000000000001,
University of Puerto Rico-Carolina,Public,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Medium full-time four-year- selective- lower transfer-in,Exclusively undergraduate four-year,Medium four-year- primarily nonresidential,-65.989694,18.391470999999999,,,,
University of Puerto Rico-Cayey,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- more selective- lower transfer-in,Exclusively undergraduate four-year,Medium four-year- primarily nonresidential,-66.163145999999998,18.117232000000001,,,,
University of Puerto Rico-Central Administration,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.070014999999998,18.380864000000003,,,,
University of Puerto Rico-Humacao,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Medium four-year- primarily nonresidential,-65.813998999999995,18.143851999999999,,,,
University of Puerto Rico-Utuado,Public,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Small four-year- primarily nonresidential,-66.722279999999998,18.266182999999998,,,,
University of Puerto Rico-Mayaguez,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Doctoral/Research Universities,Full-time four-year- more selective- lower transfer-in,Very high undergraduate,Large four-year- primarily nonresidential,-67.143911000000003,18.212964000000003,,,0.029999999999999999,
University of Puerto Rico-Medical Sciences,Public,Undergraduate degree or certificate offering,Not applicable- special focus institution,Medical schools and medical centers,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-66.051773999999995,18.408674999999999,,,,
University of Puerto Rico-Ponce,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- selective- lower transfer-in,Exclusively undergraduate four-year,Medium four-year- primarily nonresidential,-66.606215000000006,17.993314000000002,,,0.040000000000000001,
University of Puerto Rico-Rio Piedras,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Research Universities (high research activity),Full-time four-year- more selective- lower transfer-in,High undergraduate,Large four-year- primarily nonresidential,-66.045874999999995,18.403026999999998,,,0.0,
Universidad Del Este,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (larger programs),Medium full-time four-year- inclusive,Very high undergraduate,Large four-year- primarily nonresidential,-65.98342199999999,18.415026999999998,10550.0,9143.0,,
Ryder Memorial School for Practical Nursing,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-65.827753000000001,18.150767000000002,,,,
Rogies School of Beauty Culture-Santurce,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.073968999999991,18.439764,,,,
University of Sacred Heart,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (medium programs),Full-time four-year- inclusive,Very high undergraduate,Medium four-year- primarily nonresidential,-66.075102999999999,18.440592000000002,11324.0,11895.0,0.0,
Seminario Evangelico de Puerto Rico,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-66.050220999999993,18.407248000000003,,,,
Universidad Central Del Caribe,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Medical schools and medical centers,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-66.154522,18.367404999999998,,,,
Universidad Politecnica de Puerto Rico-Hato Rey Campus,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of engineering,Not applicable- special focus institution,High undergraduate,Not applicable- special focus institution,-66.055397999999997,18.422502999999999,18902.0,19169.0,0.0,
Pontifical Catholic University of Puerto Rico-Mayaguez,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Very high undergraduate,Small four-year- primarily nonresidential,-67.143721999999997,18.193322999999999,9421.0,,,
Universidad Del Turabo,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Doctoral/Research Universities,Medium full-time four-year- inclusive,High undergraduate,Large four-year- primarily nonresidential,-66.006259,18.239647000000001,10991.0,12211.0,,
College of Micronesia-FSM,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,158.20923100000002,6.9552500000000004,,,,
Palau Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Medium full-time two-year,Exclusively undergraduate two-year,Very small two-year,134.47404299999999,7.3429130000000002,,,,
University of the Virgin Islands,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Medium full-time four-year- inclusive,Very high undergraduate,Small four-year- primarily nonresidential,-64.972865999999996,18.344193000000001,,,0.050000000000000003,
